X,Y
0.0,0.0
-1.6005386114120483,0.1256231814622879
-2.302276372909546,0.15573649108409882
-2.573932409286499,-1.4679142236709595
-2.5136849880218506,-3.2328431606292725
-2.584827423095703,-5.009819984436035
-2.611323118209839,-6.540444374084473
-1.0059212446212769,-6.8054022789001465
-0.40089473128318787,-6.820298671722412
-0.41193827986717224,-6.8282151222229
-0.22140970826148987,-5.096896171569824
-0.1729438453912735,-3.3089728355407715
-0.05547674745321274,-1.5461031198501587
-0.027459461241960526,-0.07271160930395126
