X,Y
0.0,0.0
-1.7132242918014526,-0.14186301827430725
-3.43351411819458,-0.31432944536209106
-5.168526649475098,-0.5745882987976074
-6.849266052246094,-0.7741766571998596
-8.561100959777832,-0.9439454674720764
-9.976011276245117,-1.088584065437317
-11.432109832763672,-1.4105380773544312
-11.986058235168457,-2.9986603260040283
-12.089420318603516,-4.571329593658447
-12.065166473388672,-6.229180335998535
-11.872014045715332,-7.925713539123535
-11.685799598693848,-9.589386940002441
-11.549078941345215,-11.329581260681152
-11.307185173034668,-13.014159202575684
-11.153475761413574,-14.60682201385498
-10.937309265136719,-16.279348373413086
-10.811604499816895,-17.901599884033203
-10.480895042419434,-19.34932518005371
-9.032498359680176,-19.509660720825195
-7.499574661254883,-19.462135314941406
-5.972746849060059,-19.312795639038086
-4.391476154327393,-19.32557487487793
-2.732283592224121,-19.175535202026367
-1.1399966478347778,-19.103851318359375
0.31042078137397766,-18.579591751098633
0.6862959861755371,-17.103870391845703
0.699852466583252,-15.496376037597656
0.8233004808425903,-13.858373641967773
0.748142659664154,-12.184152603149414
0.678057074546814,-10.507851600646973
0.5561648607254028,-8.868526458740234
0.5243785381317139,-7.247045993804932
0.475360244512558,-5.5762505531311035
0.3988720178604126,-3.9110372066497803
0.6414470672607422,-2.235189199447632
0.44979602098464966,-0.6178686618804932
