X,Y
0.0,0.0
-1.4385643005371094,0.1149807795882225
-2.2095890045166016,-0.0008066528243944049
-2.241466522216797,-1.7147691249847412
-2.2320704460144043,-3.374448299407959
-2.200023651123047,-5.089565753936768
-2.1408677101135254,-6.766061305999756
-0.5948301553726196,-6.894614219665527
0.16922789812088013,-6.83928108215332
0.24293015897274017,-5.217369556427002
0.13042928278446198,-3.619990825653076
0.10483969748020172,-1.939226746559143
0.06531552225351334,-0.48387059569358826
-0.01711796596646309,-0.07737568020820618
