t_us,seq,ax,ay,az,gx,gy,gz,valid,work_time_us,missed
12967865, 61, -0.43, 0.39, 1.12, 52.12, 38.39, -10.31, 1, 14570, 345
12982951, 62, -0.45, 0.44, 1.01, -37.11, 13.06, -21.55, 1, 14553, 347
12997880, 63, -0.42, 0.56, 0.73, -33.02, -37.90, -38.45, 1, 14608, 349
13012829, 64, -0.36, 0.64, 0.69, -1.34, -51.51, -33.63, 1, 14674, 351
13027901, 65, -0.29, 0.72, 0.77, 60.61, -54.26, 2.08, 1, 14721, 353
13042963, 66, -0.26, 0.65, 0.84, 101.81, -41.02, 14.28, 1, 14614, 355
13057979, 67, -0.24, 0.56, 1.00, 175.17, 0.98, 26.37, 1, 14784, 357
13073166, 68, -0.23, 0.32, 1.07, 151.67, 22.16, 24.84, 1, 14506, 359
13088125, 69, -0.21, 0.24, 0.91, 57.31, 42.30, -17.33, 1, 14653, 361
13103267, 70, -0.24, 0.24, 0.71, 28.44, 45.04, -41.63, 1, 14428, 363
13118067, 71, -0.29, 0.31, 0.74, -16.42, 48.03, -62.07, 1, 14635, 365
13133088, 72, -0.57, 0.74, 0.83, -22.28, 48.65, -48.22, 1, 14605, 367
13148064, 73, -0.69, 0.82, 0.92, 41.02, 31.37, 3.91, 1, 14329, 369
13162826, 74, -0.34, 0.36, 0.88, 57.74, 23.80, 20.26, 1, 14367, 371
13177599, 75, -0.22, 0.18, 0.81, 10.80, 33.26, 4.46, 1, 14476, 373
13192417, 76, -0.24, 0.32, 0.86, -8.79, 45.72, -11.66, 1, 14603, 375
13207450, 77, -0.24, 0.41, 0.92, 15.62, 73.12, -15.32, 1, 14981, 377
13222836, 78, -0.19, 0.37, 0.85, 50.23, 87.59, -12.51, 1, 14387, 379
13237626, 79, -0.14, 0.26, 0.80, 92.22, 101.01, -27.34, 1, 14405, 381
13252448, 80, -0.11, 0.21, 0.99, 82.03, 85.63, -31.31, 1, 14737, 383
13267527, 81, -0.27, 0.19, 0.97, 54.20, 36.32, -31.98, 1, 14862, 385
13282876, 82, -0.30, 0.28, 0.91, 69.95, 17.88, -44.25, 1, 14661, 387
13298017, 83, -0.16, 0.46, 1.05, 97.72, 32.04, -73.61, 1, 14732, 389
13313253, 84, -0.16, 0.46, 1.05, 97.72, 32.04, -73.61, 0, 6069, 391
13319691, 85, -0.16, 0.46, 1.05, 97.72, 32.04, -73.61, 0, 6069, 392
13326280, 86, -0.09, 0.54, 1.32, 54.93, 65.19, -62.93, 1, 14638, 392
13341405, 87, -0.17, 0.41, 1.33, 52.86, 56.76, -62.99, 1, 14745, 394
13356661, 88, -0.14, 0.36, 1.33, 83.01, 37.11, -55.18, 1, 15018, 396
13372050, 89, -0.03, 0.31, 1.33, 83.31, 33.26, -41.38, 1, 14745, 398
13387201, 90, -0.01, 0.28, 1.33, 32.29, 24.29, 0.98, 1, 14714, 400
13402344, 91, -0.08, 0.17, 1.16, 7.69, 17.82, 10.80, 1, 14743, 402
13417456, 92, -0.07, 0.17, 1.05, 8.97, 10.13, -4.82, 1, 14688, 404
13432585, 93, -0.05, 0.31, 0.96, 17.21, 15.14, -19.04, 1, 14781, 406
13447730, 94, 0.00, 0.32, 0.90, -6.77, 9.64, -68.18, 1, 14777, 408
13462880, 95, 0.01, 0.27, 0.93, -40.34, -18.55, -99.37, 1, 14700, 410
13477980, 96, -0.07, 0.26, 0.93, -52.49, -28.32, -86.36, 1, 14593, 412
13493029, 97, -0.15, 0.19, 0.66, -12.39, 19.65, -26.37, 1, 14524, 414
13508070, 98, -0.07, 0.22, 0.67, 110.41, 90.82, 32.41, 1, 14422, 416
13522888, 99, 0.06, 0.17, 1.11, 135.38, 94.42, 12.33, 1, 14554, 418
13537810, 100, 0.12, 0.12, 1.26, 92.16, 83.37, -22.58, 1, 14303, 420
13552642, 101, 0.17, -0.04, 1.27, 61.58, 72.57, -35.52, 1, 14319, 422
13567408, 102, 0.15, 0.01, 1.15, 36.99, 36.44, -38.21, 1, 14667, 424
13582441, 103, 0.08, 0.28, 0.96, 41.14, 24.11, -31.07, 1, 14555, 426
13597337, 104, 0.08, 0.31, 0.92, 56.34, 31.43, -15.75, 1, 14490, 428
13612217, 105, 0.27, 0.15, 0.79, 55.54, 42.42, -8.30, 1, 14996, 430
13627621, 106, 0.38, 0.10, 0.72, 96.56, 52.67, -2.93, 1, 14853, 432
13642815, 107, 0.09, 0.28, 0.37, 189.03, 33.08, -5.49, 1, 14789, 434
13657945, 108, -0.03, 0.37, 0.06, 641.24, -107.91, -61.10, 1, 15180, 436
13673573, 109, -0.07, -1.33, 1.87, 768.92, -166.02, -93.38, 1, 14989, 439
13689055, 110, -0.01, -0.37, 0.96, 27.77, -47.36, -5.92, 1, 14992, 441
13704444, 111, 0.02, -0.07, 0.78, -93.87, 15.99, 8.48, 1, 14884, 443
13719846, 112, 0.09, -0.20, 0.99, -19.10, 6.29, -1.71, 1, 14849, 445
13735205, 113, 0.07, -0.25, 1.02, 18.98, -13.79, -8.18, 1, 15168, 447
13750782, 114, 0.02, -0.25, 1.01, 18.37, -11.60, -8.61, 1, 14905, 449
13766189, 115, 0.03, -0.28, 0.99, 26.49, -1.10, -13.61, 1, 14592, 451
13781161, 116, 0.03, -0.36, 0.91, 18.25, 2.14, -17.70, 1, 14568, 453
13796129, 117, -0.01, -0.32, 0.92, -33.45, 3.11, -1.77, 1, 14747, 455
13811280, 118, 0.05, -0.20, 1.03, -33.20, 9.58, 3.91, 1, 14503, 457
13826198, 119, 0.08, -0.24, 1.00, -11.90, 3.11, -11.23, 1, 14563, 459
13841178, 120, 0.11, -0.23, 1.03, -10.68, -17.33, -20.08, 1, 14783, 461
13856405, 121, 0.07, -0.26, 1.01, 9.46, -47.00, -31.01, 1, 14625, 463
13871502, 122, -0.01, -0.27, 0.93, 7.45, -36.50, -32.10, 1, 14769, 465
13886729, 123, -0.03, -0.25, 0.94, -8.18, -5.43, -27.89, 1, 15088, 467
13902158, 124, -0.03, -0.22, 0.97, -10.50, 6.10, -24.41, 1, 14721, 469
13917248, 125, -0.01, -0.23, 1.00, -9.64, 15.26, -20.26, 1, 14812, 471
13932401, 126, 0.03, -0.23, 1.01, -4.76, 4.27, -19.96, 1, 14730, 473
13947521, 127, 0.03, -0.22, 1.00, -0.31, -1.04, -18.86, 1, 14757, 475
13962667, 128, 0.01, -0.24, 0.97, -0.31, -1.83, -11.11, 1, 14740, 477
13977779, 129, 0.02, -0.25, 0.98, -4.52, -0.73, -6.90, 1, 14782, 479
13992951, 130, 0.01, -0.25, 0.98, -8.12, -1.16, -4.58, 1, 14788, 481
14008111, 131, 0.01, -0.24, 0.99, -6.90, -1.77, -4.27, 1, 14905, 483
14023414, 132, 0.01, -0.24, 0.99, -3.11, -0.43, -1.28, 1, 14754, 485
14038535, 133, 0.02, -0.24, 0.99, -2.99, 0.67, -0.73, 1, 14777, 487
14053759, 134, 0.02, -0.24, 0.98, -4.27, 0.67, -3.42, 1, 14736, 490
14068864, 135, 0.00, -0.22, 0.99, -4.21, 0.24, -4.46, 1, 14751, 492
14083986, 136, 0.00, -0.22, 0.99, -4.27, -0.37, -4.82, 1, 15297, 494
14099758, 137, 0.01, -0.24, 0.99, -5.37, 0.12, -5.37, 1, 14954, 496
14115071, 138, 0.01, -0.24, 1.00, -8.91, -0.31, -8.18, 1, 14829, 498
14130297, 139, 0.01, -0.23, 0.99, -9.95, -1.28, -8.85, 1, 14849, 500
14145573, 140, 0.01, -0.25, 0.98, -10.68, -0.18, -8.79, 1, 14780, 502
14160722, 141, 0.01, -0.23, 0.99, -10.56, 0.92, -9.52, 1, 14879, 504
14175970, 142, 0.00, -0.22, 0.99, -8.00, 2.99, -8.06, 1, 14653, 506
14190959, 143, -0.01, -0.19, 0.99, -14.40, 8.79, -4.21, 1, 14641, 508
14205999, 144, -0.00, -0.19, 1.00, -18.43, 9.83, -0.98, 1, 15075, 510
14221437, 145, 0.02, -0.23, 0.98, -19.47, 7.26, 3.78, 1, 14868, 512
14236686, 146, 0.02, -0.21, 1.00, -15.99, 6.65, 4.27, 1, 14725, 514
14251788, 147, 0.01, -0.21, 1.00, -16.36, 8.61, 7.81, 1, 14768, 516
14266927, 148, 0.01, -0.22, 0.99, -18.62, 10.44, 8.67, 1, 15026, 518
14282436, 149, 0.02, -0.20, 0.98, -18.55, 8.85, 5.37, 1, 14905, 520
14297740, 150, 0.01, -0.18, 0.98, -15.62, 6.71, 3.91, 1, 14863, 522
14313069, 151, 0.01, -0.17, 0.97, -9.46, 8.48, 4.03, 1, 14766, 524
14328232, 152, 0.06, -0.17, 0.96, -3.60, 7.87, 7.26, 1, 14626, 526
14343229, 153, 0.07, -0.21, 0.98, 9.09, 3.42, 8.79, 1, 14452, 528
14358189, 154, 0.04, -0.22, 1.02, 9.22, 0.67, 4.27, 1, 14406, 530
14372957, 155, 0.02, -0.20, 1.01, 3.54, -3.48, -2.69, 1, 14704, 532
14388032, 156, 0.03, -0.17, 0.98, 4.46, -0.55, -1.89, 1, 14558, 534
14403017, 157, 0.02, -0.20, 1.00, 6.84, 1.40, -0.98, 1, 14539, 536
14417900, 158, 0.02, -0.21, 0.96, 7.39, -3.48, -7.14, 1, 14669, 538
14432944, 159, -0.00, -0.19, 0.94, 33.08, -18.37, -25.70, 1, 14592, 540
14448010, 160, 0.02, -0.19, 1.02, 33.81, -15.08, -29.54, 1, 14614, 542
14463022, 161, 0.02, -0.20, 1.00, 9.89, 1.77, -30.82, 1, 14678, 544
14478058, 162, 0.12, -0.26, 0.96, 1.77, 0.67, -30.27, 1, 14665, 546
14493139, 163, 0.11, -0.24, 0.97, -2.01, -30.40, -5.00, 1, 14973, 548
14508560, 164, -0.04, -0.26, 0.97, 1.95, -41.44, 7.87, 1, 14805, 551
14523780, 165, -0.04, -0.25, 0.97, 3.78, -32.10, 15.38, 1, 14598, 553
14538862, 166, 0.00, -0.26, 1.07, -1.65, -57.07, 13.85, 1, 14642, 555
14554021, 167, -0.12, -0.20, 0.95, -2.62, -71.23, 8.54, 1, 14943, 557
14569341, 168, -0.13, -0.23, 0.92, 16.85, -30.27, 7.39, 1, 14815, 559
14584553, 169, -0.05, -0.27, 1.04, 16.30, -19.53, 7.63, 1, 14483, 561
14599496, 170, -0.06, -0.26, 1.04, 9.95, -35.34, 7.57, 1, 14548, 563
14614440, 171, -0.11, -0.25, 0.96, 10.62, -36.99, 9.09, 1, 14525, 565
14629365, 172, -0.12, -0.27, 0.94, 8.79, -19.71, 9.89, 1, 14653, 567
14644433, 173, -0.12, -0.24, 0.96, 6.23, -7.93, 7.51, 1, 14611, 569
14659384, 174, -0.11, -0.23, 0.96, 5.62, 7.87, 6.29, 1, 14708, 571
14674471, 175, -0.09, -0.26, 0.96, 5.31, 13.00, 8.12, 1, 14606, 573
14689473, 176, -0.08, -0.28, 0.95, 0.79, 20.94, 7.81, 1, 14351, 575
14704323, 177, -0.08, -0.23, 1.00, -2.50, 23.68, 5.98, 1, 14547, 577
14719254, 178, -0.08, -0.21, 1.04, -0.43, 13.67, 9.83, 1, 14483, 579
14734087, 179, -0.10, -0.26, 0.97, 1.04, 8.12, 11.90, 1, 14640, 581
14749071, 180, -0.09, -0.27, 0.96, -8.18, 16.17, 8.30, 1, 14693, 583
14764136, 181, -0.07, -0.25, 0.99, -12.70, 21.48, 4.70, 1, 14525, 585
14779170, 182, -0.04, -0.23, 1.00, -13.55, 21.55, 0.79, 1, 14391, 587
14794099, 183, -0.04, -0.23, 1.00, -7.51, 18.25, 5.80, 0, 10299, 589
14804769, 184, -0.01, -0.23, 1.00, 3.23, 13.12, 15.81, 1, 14594, 590
14819768, 185, -0.01, -0.27, 0.97, 3.36, 2.44, 20.08, 1, 14765, 592
14834905, 186, -0.00, -0.25, 0.95, -1.89, 2.26, 14.47, 1, 14462, 594
14849881, 187, -0.00, -0.25, 0.96, -6.65, 3.17, 6.53, 1, 14479, 596
14864790, 188, -0.03, -0.22, 1.00, -13.12, 4.52, 2.44, 1, 14579, 598
14879887, 189, -0.02, -0.21, 1.00, -15.14, 8.85, -5.55, 1, 14659, 600
14895059, 190, 0.00, -0.21, 0.98, -13.67, 9.40, -4.39, 1, 14496, 602
14909955, 191, 0.02, -0.21, 0.98, -9.83, 10.01, 4.88, 1, 14520, 604
14924817, 192, 0.02, -0.18, 0.99, -4.58, 6.47, 14.65, 1, 14408, 606
14939704, 193, 0.01, -0.22, 1.00, 2.87, -0.24, 26.12, 1, 14302, 608
14954402, 194, -0.00, -0.19, 1.01, -4.58, -6.77, 21.79, 1, 14752, 610
14969521, 195, 0.03, -0.17, 0.97, -0.12, -3.91, 20.51, 1, 14516, 612
14984379, 196, 0.08, -0.18, 1.13, 12.33, -10.07, 24.84, 1, 14335, 614
14999234, 197, 0.12, -0.22, 1.26, 29.36, -84.84, 15.87, 1, 14423, 616
15014072, 198, -0.07, -0.32, 1.02, 30.58, -99.49, 7.57, 1, 14583, 618
15029053, 199, -0.11, -0.33, 0.91, 7.45, -80.69, -6.84, 1, 14743, 620
15044164, 200, -0.16, 0.07, 0.84, -24.23, -72.81, -14.53, 1, 14691, 622
15059226, 201, -0.19, 0.26, 0.80, -62.81, -46.33, 31.01, 1, 14648, 624
15074242, 202, -0.11, -0.46, 0.83, -11.66, -15.75, 61.95, 1, 14670, 626
15089264, 203, -0.13, -0.50, 0.93, 0.00, 25.27, 37.48, 1, 14430, 628
15104128, 204, -0.12, -0.22, 1.13, -16.30, 22.34, 14.89, 1, 14563, 630
15119234, 205, -0.15, -0.14, 1.11, -24.78, -0.43, 7.63, 1, 14593, 632
15134240, 206, -0.17, -0.10, 1.01, -27.59, -0.06, 9.64, 1, 14720, 634
15149307, 207, -0.11, -0.07, 1.08, -45.04, -6.96, 19.17, 1, 14728, 636
15164435, 208, -0.12, -0.20, 1.19, -49.93, -36.32, 30.46, 1, 14762, 638
15179566, 209, -0.11, -0.30, 1.13, -75.62, -87.59, 22.89, 1, 14637, 640
15194580, 210, -0.09, -0.27, 1.06, -90.39, -90.03, 7.32, 1, 14732, 642
15209702, 211, -0.12, -0.21, 1.15, -99.12, -88.50, 1.77, 1, 14717, 644
15224849, 212, -0.14, -0.20, 1.13, -85.69, -110.60, 1.83, 1, 14651, 646
15239872, 213, -0.17, -0.17, 1.04, -85.57, -104.55, -8.36, 1, 14921, 648
15255189, 214, -0.31, -0.11, 1.14, -95.03, -65.98, -14.53, 1, 14622, 650
15270221, 215, -0.22, -0.17, 1.12, -88.93, -55.91, -11.41, 1, 14751, 652
15285369, 216, -0.23, -0.12, 1.07, -61.10, -52.43, -11.17, 1, 14761, 654
15300528, 217, -0.40, 0.09, 1.21, -52.19, -44.62, -7.93, 1, 14744, 656
15315674, 218, -0.44, 0.15, 1.27, -39.86, -28.38, 2.87, 1, 14686, 658
15330708, 219, -0.39, 0.22, 1.12, -24.72, -28.08, 8.24, 1, 14699, 660
15345825, 220, -0.41, 0.21, 1.09, 20.45, -23.32, 25.51, 1, 14749, 662
15360970, 221, -0.48, 0.10, 1.25, 31.80, -11.47, 34.48, 1, 14401, 664
15375812, 222, -0.44, 0.02, 1.29, 19.47, 2.69, 36.74, 1, 14749, 666
15391020, 223, -0.44, 0.02, 1.29, 19.47, 2.69, 36.74, 0, 5963, 668
15397382, 224, -0.44, 0.02, 1.29, 19.47, 2.69, 36.74, 0, 5947, 668
15403699, 225, -0.35, -0.00, 1.21, 5.43, -10.50, 20.14, 1, 14576, 669
15418672, 226, -0.42, 0.02, 1.23, -7.14, -15.69, 14.40, 1, 14614, 671
15433681, 227, -0.39, 0.05, 1.02, -13.00, -1.28, 11.41, 1, 14676, 673
15448715, 228, -0.31, 0.04, 0.87, -4.39, 7.69, 4.94, 1, 14567, 675
15463774, 229, -0.30, -0.03, 0.83, 5.19, 30.33, 0.18, 1, 14866, 677
15479008, 230, -0.26, -0.06, 0.91, 5.31, 39.98, 4.94, 1, 14778, 679
15494128, 231, -0.26, -0.05, 0.97, 14.40, 50.23, 16.36, 1, 14497, 681
15509116, 232, -0.30, -0.07, 1.06, 17.64, 54.63, 21.24, 1, 15097, 683
15524583, 233, -0.31, -0.07, 1.03, 3.17, 55.60, 26.86, 1, 14871, 685
15539850, 234, -0.31, -0.09, 0.95, -9.16, 53.10, 28.26, 1, 14676, 687
15554925, 235, -0.31, -0.11, 0.91, 11.60, 31.62, 24.41, 1, 15038, 689
15570297, 236, -0.28, -0.16, 0.95, 38.45, 12.51, 22.89, 1, 14794, 691
15585498, 237, -0.29, -0.12, 1.02, 29.60, -9.09, 21.24, 1, 14590, 693
15600459, 238, -0.26, -0.03, 1.03, 10.31, -16.72, 20.26, 1, 14588, 695
15615414, 239, -0.24, -0.04, 1.08, 4.03, -26.06, 22.52, 1, 14902, 697
15630715, 240, -0.21, -0.15, 1.12, 13.43, -25.88, 22.89, 1, 14729, 699
15645870, 241, -0.23, -0.15, 1.07, 21.91, -29.05, 18.01, 1, 14639, 701
15660853, 242, -0.26, -0.03, 0.90, 13.31, -34.91, 15.93, 1, 14771, 703
15676100, 243, -0.27, 0.05, 0.79, -2.99, -52.00, 13.06, 1, 14782, 705
15691250, 244, -0.27, 0.03, 0.76, 13.18, -51.15, 14.83, 1, 14408, 707
15706109, 245, -0.22, -0.03, 0.89, 53.34, -12.63, 25.76, 1, 14513, 709
15721106, 246, -0.20, -0.06, 1.02, 54.87, 2.69, 27.89, 1, 14456, 711
15735932, 247, -0.21, -0.07, 0.97, 22.71, -10.74, 16.54, 1, 14493, 713
15750825, 248, -0.18, -0.09, 0.84, 10.01, -24.84, 10.07, 1, 14638, 715
15765864, 249, -0.16, -0.11, 0.87, 18.98, -35.83, 7.63, 1, 14492, 717
15780855, 250, -0.24, -0.07, 0.79, 20.45, -31.19, 10.07, 1, 14669, 719
15795983, 251, -0.26, -0.07, 0.70, 8.24, -18.98, 12.94, 1, 14594, 721
15811040, 252, -0.24, -0.05, 0.75, 1.46, -18.86, 10.80, 1, 14662, 723
15826250, 253, -0.23, -0.02, 0.80, -11.96, -12.63, 18.31, 1, 14713, 725
15841451, 254, -0.20, -0.05, 0.74, -40.77, 11.96, 32.96, 1, 14578, 727
15856493, 255, -0.17, -0.11, 0.63, -51.21, 19.78, 34.36, 1, 14527, 729
15871498, 256, -0.13, -0.18, 0.42, -69.09, 12.51, 24.05, 1, 14489, 731
15886327, 257, -0.23, -0.12, 0.32, -60.91, -2.32, 14.89, 1, 14711, 733
15901377, 258, -0.17, -0.09, 0.30, -13.43, -29.60, -4.33, 1, 14728, 735
15916503, 259, -0.12, -0.02, 0.26, -7.75, -34.24, -9.52, 1, 15175, 737
15932146, 260, -0.16, -0.05, 0.24, -36.93, -36.01, -11.90, 1, 15162, 739
15947652, 261, -0.20, -0.15, 0.37, -67.99, -30.94, -16.24, 1, 15102, 741
15963152, 262, -0.22, -0.12, 0.49, -113.04, -1.83, -32.10, 1, 14770, 743
15978293, 263, -0.25, 0.06, 0.65, -99.12, 20.20, -40.10, 1, 14521, 745
15993184, 264, -0.22, 0.13, 0.70, -22.28, 67.14, -57.92, 1, 14689, 747
16008273, 265, -0.20, 0.13, 0.70, 9.89, 81.79, -64.15, 1, 14674, 749
16023319, 266, -0.22, 0.06, 0.64, 58.53, 80.81, -60.18, 1, 14562, 751
16038362, 267, -0.25, -0.11, 0.56, 63.66, 72.81, -54.02, 1, 14664, 753
16053477, 268, -0.26, -0.08, 0.61, 40.47, 54.69, -36.80, 1, 14662, 755
16068632, 269, -0.18, 0.03, 0.85, 23.93, 55.05, -30.40, 1, 14989, 758
16083991, 270, -0.13, 0.03, 0.86, 6.77, 87.77, -29.85, 1, 14928, 760
16099258, 271, -0.12, -0.11, 0.66, 30.40, 87.77, -38.76, 1, 14816, 762
16114454, 272, -0.12, -0.16, 0.55, 91.06, 23.13, -64.15, 1, 14710, 764
16129505, 273, -0.14, -0.12, 0.70, 92.53, -15.38, -64.51, 1, 14803, 766
16144695, 274, -0.15, -0.05, 0.87, 52.19, -31.80, -28.38, 1, 14708, 768
16159802, 275, -0.12, 0.04, 1.02, 22.40, 11.84, -2.99, 1, 14686, 770
16174857, 276, -0.11, 0.08, 0.94, 34.06, 22.03, 1.77, 1, 14441, 772
16189788, 277, -0.14, 0.06, 0.95, 65.61, 23.74, 8.06, 1, 14360, 774
16204519, 278, -0.19, 0.04, 0.92, 51.57, 24.23, 10.01, 1, 14413, 776
16219312, 279, -0.25, 0.01, 0.97, 20.32, 48.40, 25.57, 1, 14267, 778
16234119, 280, -0.20, -0.11, 1.12, 26.25, 74.58, 32.71, 1, 14537, 780
16249192, 281, -0.13, -0.14, 1.33, 30.33, 108.89, 35.52, 1, 14553, 782
16264111, 282, -0.12, -0.15, 1.29, 28.26, 104.61, 37.23, 1, 14580, 784
16279071, 283, -0.15, -0.27, 1.16, 1.04, 88.07, 32.90, 1, 14770, 786
16294219, 284, -0.17, -0.14, 1.32, -10.56, 94.06, 34.12, 1, 14702, 788
16309288, 285, -0.11, -0.25, 1.44, -4.33, 132.32, 41.08, 1, 14847, 790
16324514, 286, 0.05, -0.40, 1.58, -9.58, 148.25, 28.81, 1, 14523, 792
16339375, 287, 0.11, -0.33, 1.51, -41.87, 99.06, -3.42, 1, 14579, 794
16354391, 288, 0.13, -0.17, 1.23, -55.79, 39.31, -8.54, 1, 14948, 796
16369681, 289, 0.11, -0.17, 1.10, -41.69, -57.50, -6.04, 1, 15160, 798
16385238, 290, -0.04, -0.11, 1.06, -18.19, -65.55, -8.91, 1, 14987, 800
16400707, 291, -0.09, -0.09, 1.20, 11.54, 11.78, -7.81, 1, 14840, 802
16415984, 292, 0.01, -0.13, 1.23, -1.22, 59.14, -3.48, 1, 14554, 804
16430919, 293, 0.11, -0.16, 1.08, -19.59, 64.88, -0.55, 1, 14853, 806
16446228, 294, 0.19, -0.25, 0.89, -4.52, 36.07, -2.38, 1, 14620, 808
16461283, 295, 0.14, -0.27, 0.91, 16.97, 1.53, -6.41, 1, 14858, 810
16476626, 296, 0.10, -0.22, 1.05, 15.62, 6.16, -7.20, 1, 14603, 812
16491692, 297, 0.14, -0.21, 1.14, 16.42, 35.71, -6.41, 1, 14997, 814
16507030, 298, 0.19, -0.23, 1.17, 19.10, 38.33, -6.65, 1, 14447, 816
16522014, 299, 0.16, -0.21, 1.18, 32.47, 21.18, -22.34, 1, 14729, 818
16537223, 300, 0.02, 0.05, 1.42, 66.77, 42.24, -27.47, 1, 14342, 820
16552007, 301, 0.05, 0.00, 1.96, 161.13, 46.45, 20.94, 1, 14414, 822
16566788, 302, 0.11, -0.36, 1.40, 94.06, -13.67, 31.25, 1, 15006, 824
16582190, 303, 0.07, -0.29, 0.92, -33.45, -54.32, 10.13, 1, 14943, 826
16597645, 304, 0.03, -0.18, 0.84, -5.62, 9.03, 5.55, 1, 14425, 828
16612431, 305, 0.17, -0.21, 1.03, 1.22, 21.85, 11.11, 1, 14390, 830
16627275, 306, 0.15, -0.17, 1.02, -6.77, -4.09, 13.12, 1, 14673, 832
16642345, 307, 0.08, -0.17, 1.00, -3.11, -5.86, 9.70, 1, 14555, 834
16657410, 308, 0.09, -0.19, 0.99, 4.64, 6.59, 7.26, 1, 14439, 836
16672341, 309, 0.14, -0.19, 0.97, 3.72, 7.32, 5.86, 1, 14680, 838
16687456, 310, 0.15, -0.19, 0.98, 0.43, -5.62, 3.72, 1, 14540, 840
16702365, 311, 0.10, -0.19, 1.00, -0.18, -9.03, 4.03, 1, 14602, 842
16717363, 312, 0.08, -0.21, 1.00, -0.06, -0.49, 0.92, 1, 14522, 844
16732242, 313, 0.11, -0.21, 1.00, -5.86, -2.99, -2.08, 1, 14964, 846
16747608, 314, 0.09, -0.19, 1.00, -18.13, -14.83, -7.14, 1, 14570, 848
16762575, 315, 0.06, -0.19, 1.02, -20.39, -15.32, -12.45, 1, 14773, 850
16777748, 316, 0.09, -0.18, 1.00, -24.23, -17.70, -23.74, 1, 14636, 852
16792778, 317, 0.14, -0.19, 0.94, -17.94, -23.62, -15.75, 1, 14682, 854
16807832, 318, 0.08, -0.16, 0.90, 8.91, -10.93, 6.10, 1, 14565, 856
16822879, 319, 0.07, -0.18, 1.03, 20.51, 6.41, 6.16, 1, 14869, 858
16838116, 320, 0.11, -0.19, 1.06, 7.57, -0.49, -2.75, 1, 15172, 860
16853698, 321, 0.09, -0.16, 0.99, 1.04, -12.15, -5.13, 1, 14579, 863
16868654, 322, 0.06, -0.16, 0.98, 7.93, -8.61, -4.94, 1, 14974, 865
16883995, 323, 0.06, -0.20, 1.01, 9.22, 1.65, -3.97, 1, 14964, 867
16899442, 324, 0.10, -0.20, 1.01, 3.05, 9.46, -3.60, 1, 14808, 869
16914814, 325, 0.11, -0.17, 1.00, 8.73, 9.16, 0.73, 1, 14369, 871
16929570, 326, 0.11, -0.23, 1.04, 13.61, -14.47, 4.70, 1, 14944, 873
16944976, 327, 0.04, -0.22, 0.98, 8.42, -23.01, 1.10, 1, 14749, 875
16960209, 328, 0.04, -0.22, 0.98, 2.99, -9.28, -5.68, 1, 14730, 877
16975390, 329, 0.04, -0.20, 0.98, 3.11, 11.41, -10.80, 1, 14932, 879
16990703, 330, 0.09, -0.21, 1.01, 5.37, 16.42, -14.04, 1, 14372, 881
17005594, 331, 0.09, -0.20, 1.00, 2.38, 4.27, -12.70, 1, 14496, 883
17020508, 332, 0.08, -0.19, 0.99, 2.08, 0.24, -4.82, 1, 14416, 885
17035321, 333, 0.09, -0.18, 1.00, 8.18, 2.08, 6.96, 1, 14510, 887
17050231, 334, 0.11, -0.20, 1.04, 12.27, 1.46, 10.99, 1, 14470, 889
17065161, 335, 0.12, -0.19, 1.04, -7.63, -6.65, 13.31, 1, 14588, 891
17080239, 336, 0.20, -0.09, 0.99, -18.92, 1.16, 18.49, 1, 14414, 893
17095022, 337, 0.16, -0.15, 1.03, -33.57, 24.11, 39.55, 1, 14474, 895
17109917, 338, -0.01, -0.24, 1.12, -47.36, 24.35, 32.84, 1, 14541, 897
17124827, 339, 0.01, -0.18, 1.14, -75.81, 12.63, 0.18, 1, 14466, 899
17139699, 340, 0.09, -0.16, 1.16, -84.23, 16.48, -1.83, 1, 14506, 901
17154603, 341, 0.13, -0.18, 1.08, -90.15, 26.98, 0.18, 1, 14360, 903
17169367, 342, 0.16, -0.14, 1.00, -88.01, 22.03, 1.28, 1, 14688, 905
17184489, 343, 0.15, -0.14, 1.03, -82.64, 3.54, 5.43, 1, 14762, 907
17199593, 344, 0.14, -0.13, 0.97, -77.82, -13.24, 3.54, 1, 14785, 909
17214718, 345, 0.12, -0.09, 0.94, -53.59, -51.57, -1.77, 1, 14695, 911
17229789, 346, 0.06, -0.00, 1.03, -41.75, -59.57, 0.49, 1, 14574, 913
17244822, 347, 0.02, 0.00, 1.12, -32.17, -64.09, 3.17, 1, 14582, 915
17259890, 348, 0.01, -0.05, 0.97, -31.19, -59.33, 0.98, 1, 14595, 917
17274909, 349, 0.02, -0.08, 0.93, -13.92, -34.85, -3.60, 1, 14740, 919
17290101, 350, 0.04, -0.06, 0.99, 3.85, -25.70, -5.43, 1, 15051, 921
17305516, 351, 0.03, -0.02, 1.07, 21.42, -7.20, -9.95, 1, 14556, 923
17320561, 352, 0.03, -0.07, 1.13, 17.52, 0.18, -10.01, 1, 14347, 925
17335547, 353, 0.05, -0.09, 1.07, 14.71, 1.22, -7.81, 1, 14469, 927
17350385, 354, 0.01, -0.08, 1.10, 19.96, 1.34, -7.02, 1, 14647, 929
17365431, 355, -0.01, -0.08, 1.11, 22.71, 16.36, -7.32, 1, 14754, 931
17380599, 356, 0.01, -0.06, 1.21, 18.80, 28.50, -5.31, 1, 14647, 933
17395643, 357, 0.03, -0.08, 1.24, 6.90, 34.85, -3.23, 1, 14877, 935
