Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
52,0.581,-2.823,65
53,1.025,-3.648,65
54,1.398,-3.633,65
55,2.182,-3.2,65
56,3.007,-2.98,65
57,3.682,-2.818,65
58,4.244,-2.661,65
59,4.567,-2.497,65
60,4.652,-1.672,65
61,4.79,-0.903,65
62,3.935,-0.334,65
63,2.69,0.699,65
64,1.826,1.213,65
65,0.848,1.991,65
66,0.294,2.227,65
