Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
76,1.4551035587500324e-16,2.376364450163316,67
77,-0.45683804570109937,2.376364450163316,76
78,-0.4568380457010993,1.6400649187224763,89
79,-0.45683804570109926,1.1306878481745373,107
80,-0.45683804570109926,0.7271732883380922,113
81,-0.45683804570109926,0.31297526806276543,125
82,-0.45683804570109926,0.12407053016559144,131
83,0.01750360332415768,0.12407053016559144,134
84,0.45698056517767743,0.12407053016559144,134
85,1.3001845737070488,0.12407053016559144,134
86,1.902833725369938,0.12407053016559144,134
87,2.906578712904122,0.12407053016559144,134
88,3.5416574481803083,0.12407053016559144,134
89,4.029411484555201,0.12407053016559144,134
