Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
97,4.249842938274307,0.0,135
98,5.015153332820207,0.0,135
99,5.015153332820207,1.007126605745276,135
100,5.015153332820207,1.725705759353283,135
101,5.015153332820207,2.2751827834407328,135
102,5.015153332820207,3.064423557856247,135
103,4.702087844463537,3.064423557856247,135
104,3.6349627346474476,3.064423557856247,135
105,2.898885293069457,3.064423557856247,135
106,2.898885293069457,2.222529265204254,135
107,2.898885293069457,1.6097870681915136,135
108,2.898885293069457,1.034139606631923,135
109,2.898885293069457,-0.03298034913687431,135
110,2.898885293069457,-0.6275297583536358,135
