Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
6,-0.359,0.324,0
7,-0.705,0.101,0
8,-1.1,-0.633,0
9,-1.823,-1.309,0
10,-2.166,-1.695,0
11,-2.597,-2.143,0
12,-2.764,-2.475,0
13,-2.33,-3.009,0
14,-1.891,-3.665,0
15,-1.329,-3.461,0
16,-1.061,-3.224,0
17,-0.476,-2.946,0
18,0.113,-2.553,0
19,0.028,-2.152,0
20,0.27,-2.617,0
21,0.189,-1.837,0
22,0.199,-1.843,0
23,0.208,-1.838,0
24,0.516,-1.895,0
25,-0.026,-1.906,0
26,-0.024,-1.908,0
27,-0.028,-1.904,0
28,0.204,-0.515,0
29,0.133,0.318,0
30,-0.992,0.55,0
31,-1.963,0.728,0
32,-3.06,0.975,0
33,-3.971,1.27,0
34,-4.668,1.347,0
35,-5.106,0.182,0
36,-5.05,-0.342,0
37,-3.907,-0.457,0
38,-2.708,-0.962,0
39,-1.678,-1.582,0
40,-0.522,-2.278,0
41,0.257,-2.593,0
42,0.51,-2.26,0
43,0.486,-2.18,0
44,0.491,-2.185,0
