Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
0,-1.211,-0.184,50
1,-2.21,-0.338,52
2,-2.083,-1.449,58
3,-1.964,-2.737,61
4,-1.844,-4.064,63
5,-1.664,-5.438,69
6,-1.545,-6.268,72
7,-0.352,-6.263,78
8,0.644,-6.052,82
9,0.564,-4.736,88
10,0.436,-3.482,93
11,0.366,-2.05,96
12,0.304,-0.818,101
13,0.245,0.475,105
