Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
35,1.336,0.509,223
36,0.877,-0.797,223
37,0.634,-1.89,223
38,0.605,-2.169,223
39,0.633,-2.078,223
40,0.14,-2.071,223
41,-0.553,-2.101,223
42,-1.237,-2.077,223
43,-1.15,-2.093,223
44,-1.427,-1.386,223
45,-1.575,-1.002,223
46,-1.746,-0.479,223
47,-1.918,0.074,223
48,-1.869,-0.019,223
49,-0.677,0.623,223
50,-0.198,0.997,223
51,0.735,1.447,223
