Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
0,-1.374,-0.111,65
1,-2.2,-0.214,69
2,-2.047,-1.516,83
3,-1.941,-2.783,87
4,-1.759,-4.025,93
5,-1.528,-5.245,100
6,-1.305,-6.323,103
7,-0.086,-6.061,111
8,0.879,-5.811,117
9,0.692,-4.514,126
10,0.536,-3.156,132
11,0.407,-1.806,137
12,0.242,-0.64,144
13,0.099,0.306,151
