seq,t,dt,work,missed,,,
601,11238548,4994,9,0,,,
602,11243565,5017,9,0,,,
603,11248548,4983,9,0,,,
604,11253553,5005,9,0,,,
605,11258553,5000,9,0,,,
606,11263546,4993,9,0,,,
607,11268551,5005,9,0,,,
608,11273554,5003,8,0,,,
609,11278550,4996,9,0,,,
610,11283551,5001,9,0,,,
611,11288549,4998,9,0,,,
612,11293552,5003,9,0,,,
613,11298548,4996,8,0,,,
614,11303551,5003,9,0,,,
615,11308550,4999,9,0,,,
616,11313548,4998,9,0,,,
617,11318551,5003,9,0,,,
618,11323546,4995,9,0,,,
619,11328548,5002,9,0,,,
620,11333550,5002,9,0,,,
621,11338552,5002,8,0,,,
622,11343546,4994,9,0,,,
623,11348551,5005,9,0,,,
624,11353552,5001,9,0,,,
625,11358554,5002,8,0,,,
626,11363547,4993,9,0,,,
627,11368553,5006,9,0,,,
628,11373551,4998,9,0,,,
629,11378551,5000,8,0,,,
630,11383554,5003,9,0,,,
631,11388546,4992,9,0,,,
632,11393554,5008,9,0,,,
633,11398553,4999,9,0,,,
634,11403550,4997,9,0,,,
635,11408549,4999,9,0,,,
636,11413551,5002,9,0,,,
637,11418547,4996,9,0,,,
638,11423550,5003,9,0,,,
639,11428553,5003,8,0,,,
640,11433552,4999,9,0,,,
641,11438550,4998,8,0,,,
642,11443546,4996,8,0,,,
643,11448555,5009,8,0,,,
644,11453552,4997,9,0,,,
645,11458546,4994,9,0,,,
646,11463550,5004,9,0,,,
647,11468547,4997,9,0,,,
648,11473550,5003,9,0,,,
649,11478550,5000,9,0,,,
650,11483549,4999,9,0,,,
651,11488568,5019,9,0,,,
652,11493547,4979,9,0,,,
653,11498549,5002,9,0,,,
654,11503546,4997,9,0,,,
655,11508549,5003,9,0,,,
656,11513552,5003,9,0,,,
657,11518548,4996,9,0,,,
658,11523551,5003,9,0,,,
659,11528548,4997,8,0,,,
660,11533554,5006,9,0,,,
661,11538549,4995,9,0,,,
662,11543546,4997,9,0,,,
663,11548546,5000,9,0,,,
664,11553552,5006,9,0,,,
665,11558547,4995,9,0,,,
666,11563548,5001,8,0,,,
667,11568554,5006,9,0,,,
668,11573553,4999,9,0,,,
669,11578548,4995,9,0,,,
670,11583551,5003,8,0,,,
671,11588564,5013,9,0,,,
672,11593546,4982,9,0,,,
673,11598552,5006,9,0,,,
674,11603551,4999,9,0,,,
675,11608548,4997,9,0,,,
676,11613548,5000,9,0,,,
677,11618555,5007,9,0,,,
678,11623554,4999,9,0,,,
679,11628551,4997,9,0,,,
680,11633548,4997,9,0,,,
681,11638550,5002,8,0,,,
682,11643554,5004,9,0,,,
683,11648566,5012,9,0,,,
684,11653553,4987,9,0,,,
685,11658553,5000,8,0,,,
686,11663546,4993,8,0,,,
687,11668547,5001,9,0,,,
688,11673551,5004,9,0,,,
689,11678548,4997,8,0,,,
690,11683547,4999,9,0,,,
691,11688546,4999,9,0,,,
692,11693549,5003,9,0,,,
693,11698554,5005,8,0,,,
694,11703553,4999,9,0,,,
695,11708550,4997,9,0,,,
696,11713548,4998,9,0,,,
