t_host_s,Sequence,X_Position_m,Y_Position_m,Stance_Duration_ms,Quality,State_Flag,Missed_Ticks
19.772,59,-2.791,-0.439,0,0,0,708
20.875,60,-2.557,-0.989,0,0,0,727
22.495,61,-1.571,-0.461,0,0,0,745
23.755,62,-0.388,-0.049,0,0,0,753
24.955,63,0.489,0.297,0,0,0,761
26.215,64,1.241,0.585,0,0,0,766
27.595,65,2.031,0.906,0,0,0,770
29.515,66,1.498,1.979,0,0,0,778
30.835,67,1.132,2.964,0,0,0,784
32.575,68,0.009,2.566,0,0,0,791
33.955,69,-1.009,2.406,0,0,0,796
35.216,70,-1.481,2.274,0,0,0,799
36.596,71,-2.48,2.151,0,0,0,801
37.915,72,-3.481,2.092,0,0,0,801
