t_host_s,Sequence,X_Position_m,Y_Position_m,Stance_Duration_ms,Quality,State_Flag,Missed_Ticks
8.317,77,-4.533,1.423,0,0,0,851
9.361,78,-5.061,1.018,0,0,0,853
10.741,79,-4.313,0.226,0,0,0,854
11.882,80,-3.673,-0.93,0,0,0,856
13.082,81,-3.143,-1.527,0,0,0,859
14.222,82,-2.667,-2.3,0,0,0,860
15.361,83,-2.299,-3.077,0,0,0,862
16.742,84,-1.002,-2.676,0,0,0,867
17.884,85,-0.158,-2.371,0,0,0,868
19.202,86,-0.547,-1.128,0,0,0,868
20.402,87,-0.858,0.191,0,0,0,870
21.601,88,-1.097,1.732,0,0,0,871
22.862,89,-1.22,2.812,0,0,0,873
24.182,90,-1.458,3.734,0,0,0,874
