t_host_s,Sequence,X_Position_m,Y_Position_m,Stance_Duration_ms,Quality,State_Flag,Missed_Ticks
16.589,0,-1.155,0.044,0,0,0,29
17.823,1,-1.869,0.0,0,0,0,30
19.315,2,-1.957,-1.321,0,0,0,30
20.575,3,-1.905,-2.542,0,0,0,31
21.895,4,-2.018,-3.699,0,0,0,32
23.155,5,-2.114,-4.838,0,0,0,32
24.475,6,-2.028,-5.622,0,0,0,32
25.914,7,-1.133,-5.435,0,0,0,35
27.175,8,-0.358,-5.383,0,0,0,35
28.675,9,-0.313,-4.163,0,0,0,35
29.995,10,-0.223,-2.986,0,0,0,35
31.255,11,-0.025,-1.606,0,0,0,35
32.515,12,0.213,-0.134,0,0,0,35
33.775,13,0.345,0.875,0,0,0,35
41.009,14,-0.075,0.495,0,0,0,40
41.636,15,0.078,0.309,0,0,0,41
