t_host_s,Sequence,X_Position_m,Y_Position_m,Stance_Duration_ms,Quality,State_Flag,Missed_Ticks
16.561,41,0.377,0.656,0,0,0,247
17.726,42,0.682,1.189,0,0,0,249
19.226,43,-0.415,1.967,0,0,0,250
20.486,44,-1.492,2.766,0,0,0,251
21.806,45,-2.596,3.621,0,0,0,255
23.066,46,-3.548,4.38,0,0,0,268
24.266,47,-4.242,4.929,0,0,0,282
25.706,48,-4.891,3.856,0,0,0,311
26.967,49,-5.558,3.127,0,0,0,335
28.647,50,-4.758,2.579,0,0,0,358
29.907,51,-4.27,1.924,0,0,0,367
31.227,52,-3.792,1.012,0,0,0,369
32.547,53,-3.357,0.21,0,0,0,373
33.807,54,-3.01,-0.339,0,0,0,380
51.061,55,-2.721,0.101,0,0,0,417
