t_host_s,Sequence,X_Position_m,Y_Position_m,Stance_Duration_ms,Quality,State_Flag,Missed_Ticks
18.862,20,-1.333,0.693,0,0,0,125
20.026,21,-2.188,0.952,0,0,0,135
21.587,22,-2.714,-0.285,0,0,0,139
22.927,23,-3.29,-1.744,0,0,0,141
24.106,24,-3.738,-3.077,0,0,0,143
25.307,25,-4.176,-4.298,0,0,0,144
26.627,26,-4.328,-5.186,0,0,0,144
28.127,27,-2.984,-5.535,0,0,0,145
29.387,28,-2.259,-5.687,0,0,0,145
30.887,29,-1.89,-4.394,0,0,0,152
32.087,30,-1.291,-3.207,0,0,0,152
33.347,31,-0.665,-2.107,0,0,0,154
34.607,32,0.137,-0.818,0,0,0,156
35.809,33,0.642,-0.018,0,0,0,156
