Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
18,-1.239,0.342,65
19,-1.851,0.554,66
20,-2.448,-0.696,67
21,-3.217,-1.979,67
22,-3.769,-3.005,67
23,-4.245,-3.898,68
24,-4.626,-4.672,68
25,-3.379,-5.272,70
26,-2.607,-5.708,70
27,-1.88,-4.524,71
28,-1.068,-3.435,71
29,-0.36,-2.347,74
30,0.427,-1.27,77
31,1.137,-0.25,86
