Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
0,-1.348,-0.039,11
1,-1.895,-0.127,12
2,-1.79,-1.505,12
3,-1.768,-2.811,12
4,-1.717,-4.217,13
5,-1.694,-5.461,13
6,-1.574,-6.401,13
7,-0.225,-6.3,15
8,0.886,-6.25,15
9,0.83,-5.069,15
10,0.708,-4.158,15
11,0.706,-2.881,16
12,0.658,-1.915,16
13,0.775,-0.925,18
